"","X","id","session","startTime","endTime","extinct","player"
"161",161,161,"7ce467ccf3b4af3831ecb2f87aabd3b7","2021-07-16 17:05:37","2021-07-16 17:05:44",1,"player35"
"162",162,162,"7ce467ccf3b4af3831ecb2f87aabd3b7","2021-07-16 17:10:10","2021-07-16 17:10:19",0,"player35"
"163",163,163,"6c093a1d80afc861349b3cab705178da","2021-07-16 17:39:06","2021-07-16 17:45:00",0,"player2"
"166",166,166,"e506d32f8e99fd7addc4c2e92ba95ae1","2021-07-21 14:36:02","2021-07-21 14:37:48",1,"player75"
"167",167,167,"ffaa7bc9199f22f23b0441df28d247bb","2021-07-21 14:36:26","2021-07-21 14:38:03",1,"player59"
"168",168,168,"e506d32f8e99fd7addc4c2e92ba95ae1","2021-07-21 14:38:39","2021-07-21 14:38:50",1,"player75"
"169",169,169,"e506d32f8e99fd7addc4c2e92ba95ae1","2021-07-21 14:39:02","2021-07-21 14:39:42",0,"player75"
"170",170,170,"ffaa7bc9199f22f23b0441df28d247bb","2021-07-21 14:39:07","2021-07-21 14:39:57",1,"player59"
"171",171,171,"e506d32f8e99fd7addc4c2e92ba95ae1","2021-07-21 14:40:53","2021-07-21 14:41:24",1,"player75"
"172",172,172,"ffaa7bc9199f22f23b0441df28d247bb","2021-07-21 14:41:06","2021-07-21 14:42:34",0,"player59"
"173",173,173,"e506d32f8e99fd7addc4c2e92ba95ae1","2021-07-21 14:42:18","2021-07-21 14:42:59",0,"player75"
"174",174,174,"6ab93b3c380b48e1f91b343c2f081d36","2021-07-21 14:45:07","2021-07-21 14:46:11",0,"player75"
"175",175,175,"2ebeca6d8eb96c424270e5e883185be6","2021-07-21 16:13:34",NA,0,"player3"
"176",176,176,"6f735528cc32f3ae5ae07fddf7d53f17","2021-07-21 16:29:12","2021-07-21 16:30:28",0,"player12"
"177",177,177,"20fee1073d044a620ba8182e49328ca8","2021-07-21 16:56:36",NA,0,"player23"
"178",178,178,"20fee1073d044a620ba8182e49328ca8","2021-07-21 16:56:58","2021-07-21 17:00:38",1,"player24"
"179",179,179,"20fee1073d044a620ba8182e49328ca8","2021-07-21 17:05:33",NA,0,"player24"
"180",180,180,"36fdb05aa4f1ed54aaf35c745bd5e0fa","2021-07-21 17:16:38","2021-07-21 17:18:48",1,"player4"
"181",181,181,"36fdb05aa4f1ed54aaf35c745bd5e0fa","2021-07-21 17:19:38","2021-07-21 17:20:19",1,"player5"
"182",182,182,"36fdb05aa4f1ed54aaf35c745bd5e0fa","2021-07-21 17:20:39","2021-07-21 17:21:05",1,"player6"
"183",183,183,"36fdb05aa4f1ed54aaf35c745bd5e0fa","2021-07-21 17:21:49","2021-07-21 17:24:28",0,"player7"
"184",184,184,"21c65d4056b01819239db9aceb5fc018","2021-07-21 17:51:58","2021-07-21 17:56:15",0,"player24"
"185",185,185,"a6834489f3a0e0fa540bab843934c3dd","2021-07-22 05:52:11","2021-07-22 05:54:07",1,"player25"
"186",186,186,"a6834489f3a0e0fa540bab843934c3dd","2021-07-22 05:54:27","2021-07-22 05:56:02",1,"player25"
"187",187,187,"a6834489f3a0e0fa540bab843934c3dd","2021-07-22 05:56:18","2021-07-22 05:58:57",0,"player25"
"188",188,188,"34cb56ac0e95ad4970dcd56121670ffd","2021-07-22 08:25:34","2021-07-22 08:28:33",0,"player56"
"189",189,189,"34cb56ac0e95ad4970dcd56121670ffd","2021-07-22 08:29:15","2021-07-22 11:28:41",0,"player56"
"190",190,190,"53711e5f36c3c8e21ffd590fd9d4a4b9","2021-07-22 08:59:25","2021-07-22 09:01:33",0,"player68"
"191",191,191,"34cb56ac0e95ad4970dcd56121670ffd","2021-07-22 11:29:09","2021-07-22 11:30:38",0,"player56"
"192",192,192,"34cb56ac0e95ad4970dcd56121670ffd","2021-07-22 11:31:02","2021-07-22 11:32:18",0,"player56"
"193",193,193,"34cb56ac0e95ad4970dcd56121670ffd","2021-07-22 11:32:37","2021-07-22 11:32:59",1,"player56"
"194",194,194,"34cb56ac0e95ad4970dcd56121670ffd","2021-07-22 11:33:11","2021-07-22 11:34:50",0,"player56"
"195",195,195,"34cb56ac0e95ad4970dcd56121670ffd","2021-07-22 11:34:59","2021-07-22 11:35:56",0,"player56"
"196",196,196,"34cb56ac0e95ad4970dcd56121670ffd","2021-07-22 11:36:11","2021-07-22 11:37:54",0,"player56"
"197",197,197,"34cb56ac0e95ad4970dcd56121670ffd","2021-07-22 11:38:24","2021-07-22 11:40:03",0,"player56"
"198",198,198,"34cb56ac0e95ad4970dcd56121670ffd","2021-07-22 11:40:20","2021-07-22 11:41:22",0,"player56"
"199",199,199,"2c2fb4bb429dce9b64fef39f5c2e02d3","2021-07-22 12:48:23",NA,0,"player8"
"200",200,200,"2c2fb4bb429dce9b64fef39f5c2e02d3","2021-07-22 12:49:05","2021-07-22 13:01:50",0,"player9"
"201",201,201,"e949ab904a36594b611db6e58adae487","2021-07-22 15:07:31","2021-07-22 15:13:58",0,"player72"
"202",202,202,"e949ab904a36594b611db6e58adae487","2021-07-22 15:14:41",NA,0,"player72"
"203",203,203,"192b005ef310aee6745d7c4c60db937f","2021-07-23 08:21:20","2021-07-23 08:25:18",1,"player56"
"204",204,204,"9311ccef3a78ad64208ccef15fc7a88b","2021-07-23 09:36:21","2021-07-23 09:37:53",0,"player75"
"205",205,205,"b8b1b30044bc1873fc44b105d6229647","2021-07-23 09:38:50","2021-07-23 09:40:40",0,"player75"
"206",206,206,"7bb3acec2babfc35c598cfec1f819c23","2021-07-23 10:52:42","2021-07-23 10:54:19",0,"player10"
"207",207,207,"869c43ec2e52739e4a6708cc16ab01ae","2021-07-23 10:53:09","2021-07-23 11:00:54",1,"player57"
"208",208,208,"4c641b87bb878775cf59fb3b991cdef2","2021-07-23 10:53:14",NA,0,"player22"
"209",209,209,"7bb3acec2babfc35c598cfec1f819c23","2021-07-23 10:54:46","2021-07-23 10:56:15",1,"player10"
"210",210,210,"7bb3acec2babfc35c598cfec1f819c23","2021-07-23 10:56:28","2021-07-23 10:57:59",0,"player10"
"211",211,211,"7bb3acec2babfc35c598cfec1f819c23","2021-07-23 10:58:23","2021-07-23 10:58:52",1,"player10"
"212",212,212,"7bb3acec2babfc35c598cfec1f819c23","2021-07-23 10:59:05","2021-07-23 10:59:52",0,"player10"
"213",213,213,"7bb3acec2babfc35c598cfec1f819c23","2021-07-23 11:00:17","2021-07-23 11:01:57",1,"player10"
"214",214,214,"7bb3acec2babfc35c598cfec1f819c23","2021-07-23 11:02:11","2021-07-23 11:02:20",1,"player10"
"215",215,215,"7bb3acec2babfc35c598cfec1f819c23","2021-07-23 11:02:33","2021-07-23 11:04:00",1,"player10"
"216",216,216,"e15e3803900e4eb62fdcedb7893d60a2","2021-07-23 11:03:53","2021-07-23 11:04:34",0,"player79"
"217",217,217,"a61810b4556ed9c91039c1611b25bef4","2021-07-23 14:03:49","2021-07-23 14:06:22",1,"player55"
"218",218,218,"c650007514cd8bc0486f8311c2900f7c","2021-07-23 22:28:55","2021-07-23 22:30:39",0,"player26"
"219",219,219,"c650007514cd8bc0486f8311c2900f7c","2021-07-23 22:31:11","2021-07-23 22:37:42",0,"player26"
"220",220,220,"c650007514cd8bc0486f8311c2900f7c","2021-07-23 22:38:23","2021-07-23 22:42:37",0,"player26"
"221",221,221,"4ff016351f5279f25b062c6022b01a19","2021-07-23 23:10:31","2021-07-23 23:11:46",0,"player16"
"222",222,222,"4ff016351f5279f25b062c6022b01a19","2021-07-23 23:12:13","2021-07-23 23:12:52",1,"player16"
"223",223,223,"97cb2fd36c3413495327bf480478ce11","2021-07-25 08:51:57","2021-07-25 08:54:14",0,"player73"
"224",224,224,"97cb2fd36c3413495327bf480478ce11","2021-07-25 08:55:01","2021-07-25 08:55:15",1,"player73"
"225",225,225,"97cb2fd36c3413495327bf480478ce11","2021-07-25 08:55:38","2021-07-25 08:56:30",0,"player73"
"226",226,226,"97cb2fd36c3413495327bf480478ce11","2021-07-25 08:56:57","2021-07-25 08:58:36",0,"player73"
"227",227,227,"97cb2fd36c3413495327bf480478ce11","2021-07-25 08:59:52","2021-07-25 09:00:33",0,"player73"
"228",228,228,"97cb2fd36c3413495327bf480478ce11","2021-07-25 09:01:32","2021-07-25 09:02:15",0,"player73"
"229",229,229,"97cb2fd36c3413495327bf480478ce11","2021-07-25 09:03:26","2021-07-25 09:03:40",1,"player73"
"230",230,230,"97cb2fd36c3413495327bf480478ce11","2021-07-25 09:04:02","2021-07-25 09:05:01",0,"player73"
"231",231,231,"97cb2fd36c3413495327bf480478ce11","2021-07-25 09:05:28","2021-07-25 09:05:47",1,"player73"
"232",232,232,"97cb2fd36c3413495327bf480478ce11","2021-07-25 09:06:04","2021-07-25 09:08:13",0,"player73"
"233",233,233,"97cb2fd36c3413495327bf480478ce11","2021-07-25 09:08:38","2021-07-25 09:11:18",0,"player73"
"234",234,234,"97cb2fd36c3413495327bf480478ce11","2021-07-25 09:11:51","2021-07-25 09:12:12",0,"player73"
"235",235,235,"97cb2fd36c3413495327bf480478ce11","2021-07-25 09:12:21","2021-07-25 09:15:47",0,"player73"
"236",236,236,"97cb2fd36c3413495327bf480478ce11","2021-07-25 09:16:29","2021-07-25 09:18:15",1,"player73"
"237",237,237,"97cb2fd36c3413495327bf480478ce11","2021-07-25 09:18:39","2021-07-25 09:18:47",1,"player73"
"238",238,238,"d7136cf490bdbc137d1749466bb1cc37","2021-07-26 09:52:07","2021-07-26 09:54:31",0,"player48"
"239",239,239,"11e49cbaf9b0e34e8617a6d2350841ad","2021-07-26 10:10:13",NA,0,"player44"
"240",240,240,"11e49cbaf9b0e34e8617a6d2350841ad","2021-07-26 10:10:35","2021-07-26 10:11:05",1,"player45"
"241",241,241,"6b7fadcd2921f94b1d26f13a26dac64e","2021-07-26 15:06:57",NA,0,"player71"
"242",242,242,"90635d71a1ecd7514bc2401dfb8ff24b","2021-07-27 22:23:49",NA,0,"player32"
"243",243,243,"04cd91e2476cf0c3986eca11747d0ad1","2021-07-28 14:53:31",NA,0,"player18"
"244",244,244,"04cd91e2476cf0c3986eca11747d0ad1","2021-07-28 14:53:41","2021-07-28 14:55:13",1,"player50"
"245",245,245,"04cd91e2476cf0c3986eca11747d0ad1","2021-07-28 14:55:48","2021-07-28 14:57:49",0,"player17"
"246",246,246,"04cd91e2476cf0c3986eca11747d0ad1","2021-07-28 14:58:23","2021-07-28 14:59:44",0,"player17"
"247",247,247,"70181758f1b735037a064c6dd3297bb0","2021-07-29 12:16:05","2021-07-29 12:18:52",0,"player15"
"248",248,248,"0b23b5851704e2aab6131df7c90507a7","2021-08-02 15:02:09",NA,0,"player83"
"249",249,249,"c01aef80e361187468324adf9c0d5b25","2021-08-02 15:02:51","2021-08-02 15:04:08",0,"player83"
"250",250,250,"ace0e3c269108daf2ceb2c408e610c86","2021-08-02 17:32:47",NA,0,"player19"
"251",251,251,"7a7b6e1d53fc4c21edf419e97ce985f4","2021-08-02 17:33:44",NA,0,"player74"
"252",252,252,"7a7b6e1d53fc4c21edf419e97ce985f4","2021-08-02 17:34:01","2021-08-02 17:37:36",0,"player76"
"253",253,253,"397aaeb9885e8d6d9aed7371a9ba14f5","2021-08-05 17:30:49","2021-08-05 17:34:06",0,"player46"
"254",254,254,"397aaeb9885e8d6d9aed7371a9ba14f5","2021-08-05 17:34:36","2021-08-05 17:39:36",0,"player46"
